#period	period time	calc time
1	16	1481
2	735	1002
3	498	751
4	987	502
5	503	1258
6	1225	502
7	11	989
8	498	1004
9	498	752
10	499	1262
11	1004	502
12	11	1235
13	10	989
14	750	502
15	1011	18
16	754	742
17	747	502
18	997	256
19	11	1241
20	252	1007
21	247	750
22	251	1252
23	248	1008
24	497	747
25	249	1007
26	248	1004
27	497	752
28	252	1000
29	253	749
30	246	998
31	1001	13
32	251	1004
33	752	499
34	247	1254
35	250	1001
36	749	504
37	498	1261
38	16	978
39	1001	256
40	1001	254
41	496	754
42	249	1010
43	729	752
44	492	752
45	485	1004
46	1002	13
47	16	976
48	11	1233
49	252	751
50	251	995
51	499	1004
52	746	764
53	498	753
54	501	747
55	13	982
56	500	1250
57	501	1252
58	741	752
59	497	1011
60	498	752
61	11	1237
62	11	1245
63	256	748
64	996	250
65	498	1254
66	499	1004
67	7	996
68	499	752
69	984	747
70	250	1001
71	250	756
72	996	255
73	250	1250
74	11	1238
75	996	256
76	496	752
77	250	750
78	1497	502
79	246	765
80	10	992
